                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.44461,                0.52612,                0.86664,                0.99078,                0.99464,                0.99473,                0.92189,                0.39487,                0.28348,                0.82647,             0.00019229,             0.00019229,             0.00019229
                     60,                0.44056,                0.51902,                0.86584,                0.99265,                0.99555,                 0.9948,                0.91695,                0.40658,                0.28824,                0.82858,             0.00019208,             0.00019208,             0.00019208
                     61,                0.43267,                 0.5119,                0.86262,                0.99135,                0.99565,                0.99472,                0.92216,                0.39463,                0.28148,                 0.8258,             0.00019188,             0.00019188,             0.00019188
                     62,                0.44041,                0.50381,                 0.8609,                0.99295,                0.99479,                0.99495,                0.91886,                0.40572,                0.28503,                0.82597,             0.00019168,             0.00019168,             0.00019168
                     63,                0.43814,                0.51351,                0.86191,                0.99341,                 0.9961,                0.99485,                0.91907,                0.39942,                0.28089,                0.82266,             0.00019148,             0.00019148,             0.00019148
                     64,                0.43266,                0.50902,                0.86196,                0.99159,                0.99535,                0.99495,                0.92013,                0.39456,                0.28282,                0.82558,             0.00019128,             0.00019128,             0.00019128
                     65,                 0.4352,                0.50387,                0.85916,                 0.9872,                0.99486,                0.99455,                0.91831,                0.39658,                0.28184,                0.82688,             0.00019107,             0.00019107,             0.00019107
                     66,                0.44171,                 0.5017,                0.86471,                0.99199,                0.99418,                0.99476,                0.91832,                0.39146,                0.27615,                 0.8267,             0.00019087,             0.00019087,             0.00019087
                     67,                  0.437,                 0.5003,                0.85677,                0.99116,                0.99412,                0.99473,                0.92057,                0.40176,                0.28281,                0.82845,             0.00019067,             0.00019067,             0.00019067
                     68,                0.43771,                0.50117,                0.86341,                0.99094,                0.99609,                0.99476,                0.92257,                0.38771,                0.27132,                 0.8235,             0.00019047,             0.00019047,             0.00019047
                     69,                0.44114,                0.49864,                0.86418,                0.99122,                0.99297,                0.99482,                0.92207,                0.39467,                0.27172,                0.82764,             0.00019027,             0.00019027,             0.00019027
                     70,                 0.4296,                0.49057,                0.85764,                0.99271,                0.99495,                0.99486,                0.92325,                0.39034,                0.27699,                0.82765,             0.00019006,             0.00019006,             0.00019006
                     71,                0.43216,                0.48468,                0.86412,                0.99398,                0.99192,                0.99456,                 0.9232,                0.39175,                0.27661,                0.82695,             0.00018986,             0.00018986,             0.00018986
                     72,                0.43211,                0.47765,                0.85593,                0.99192,                0.99321,                0.99436,                  0.919,                 0.3927,                0.27751,                0.82324,             0.00018966,             0.00018966,             0.00018966
                     73,                  0.431,                 0.4815,                0.85933,                0.99342,                0.99177,                0.99453,                0.92196,                0.40267,                0.27625,                 0.8289,             0.00018946,             0.00018946,             0.00018946
                     74,                0.42426,                0.47202,                 0.8556,                 0.9928,                0.99528,                  0.995,                0.92551,                0.38729,                0.26554,                0.82364,             0.00018926,             0.00018926,             0.00018926
                     75,                0.42797,                0.48142,                0.86048,                0.99476,                0.99475,                  0.995,                0.92244,                0.39482,                0.26756,                0.82455,             0.00018905,             0.00018905,             0.00018905
                     76,                0.43134,                0.49473,                0.86033,                0.99472,                0.99516,                  0.995,                0.92451,                0.38794,                0.26713,                  0.823,             0.00018885,             0.00018885,             0.00018885
                     77,                0.42591,                0.47204,                  0.855,                0.99356,                0.99285,                0.99489,                0.92628,                0.38743,                0.27294,                 0.8227,             0.00018865,             0.00018865,             0.00018865
